<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.01.02	12:15:00	4395.260	4398.279	4392.951	4393.282	2090	0	160
2026.01.02	12:30:00	4393.325	4394.561	4385.192	4388.072	3505	0	160
2026.01.02	12:45:00	4388.111	4394.817	4385.439	4394.411	3532	0	160
2026.01.02	13:00:00	4394.448	4401.154	4392.567	4399.830	3756	0	160
2026.01.02	13:15:00	4399.786	4402.407	4372.915	4374.539	9913	0	160
2026.01.02	13:30:00	4374.579	4377.237	4365.839	4372.627	9364	0	160
2026.01.02	13:45:00	4372.507	4377.979	4361.753	4366.023	7313	0	160
2026.01.02	14:00:00	4366.066	4372.730	4364.457	4370.468	6470	0	160
2026.01.02	14:15:00	4370.502	4373.701	4367.067	4368.441	5225	0	160
2026.01.02	14:30:00	4368.470	4370.317	4348.143	4356.310	16713	0	160
2026.01.02	14:45:00	4356.346	4363.046	4352.206	4353.432	11779	0	160
2026.01.02	15:00:00	4353.450	4356.995	4333.628	4340.571	13548	0	160
2026.01.02	15:15:00	4340.601	4342.700	4330.239	4336.632	13273	0	160
2026.01.02	15:30:00	4336.583	4346.756	4331.652	4346.116	9581	0	160
2026.01.02	15:45:00	4346.046	4346.988	4333.629	4335.470	10770	0	160
2026.01.02	16:00:00	4335.417	4337.380	4320.397	4322.584	14563	0	160
2026.01.02	16:15:00	4322.546	4324.938	4314.828	4321.620	11386	0	160
2026.01.02	16:30:00	4321.572	4328.209	4315.181	4325.878	8886	0	160
2026.01.02	16:45:00	4325.845	4328.326	4321.368	4326.428	7211	0	160
2026.01.02	17:00:00	4326.403	4333.455	4324.727	4330.143	6957	0	160
2026.01.02	17:15:00	4330.095	4332.999	4324.045	4328.850	4753	0	160
2026.01.02	17:30:00	4328.875	4331.277	4323.538	4326.414	5099	0	160
2026.01.02	17:45:00	4326.446	4328.123	4322.733	4323.089	5359	0	160
2026.01.02	18:00:00	4323.015	4323.773	4312.561	4314.605	5900	0	160
2026.01.02	18:15:00	4314.557	4321.670	4310.711	4318.452	6766	0	160
2026.01.02	18:30:00	4318.428	4319.492	4309.669	4312.387	4922	0	160
2026.01.02	18:45:00	4312.514	4315.619	4312.015	4315.060	4795	0	160
2026.01.02	19:00:00	4315.106	4322.165	4315.106	4321.430	4304	0	160
2026.01.02	19:15:00	4321.510	4323.117	4316.365	4318.630	3176	0	160
2026.01.02	19:30:00	4318.662	4326.335	4318.142	4322.692	4488	0	160
2026.01.02	19:45:00	4322.721	4322.970	4317.534	4318.185	3839	0	160
2026.01.02	20:00:00	4318.228	4321.496	4317.178	4319.960	3756	0	160
2026.01.02	20:15:00	4319.863	4329.417	4318.749	4328.391	3360	0	160
2026.01.02	20:30:00	4328.359	4329.280	4325.277	4326.865	3068	0	160
2026.01.02	20:45:00	4326.908	4331.565	4326.355	4331.422	3783	0	160
2026.01.02	21:00:00	4331.457	4331.870	4327.070	4329.020	2469	0	160
2026.01.02	21:15:00	4329.049	4329.738	4327.781	4328.851	1239	0	160
2026.01.02	21:30:00	4328.862	4330.526	4327.255	4328.670	1165	0	160
2026.01.02	21:45:00	4328.601	4334.010	4328.400	4331.759	1633	0	160
2026.01.04	23:00:00	4353.486	4370.794	4349.830	4370.135	2542	0	160
2026.01.04	23:15:00	4370.189	4372.674	4361.182	4366.936	4701	0	160
2026.01.04	23:30:00	4366.882	4366.882	4354.415	4362.137	3784	0	160
2026.01.04	23:45:00	4362.071	4375.948	4361.254	4372.570	4686	0	160
2026.01.05	00:00:00	4372.597	4380.032	4370.227	4378.116	4470	0	160
2026.01.05	00:15:00	4378.083	4389.652	4377.674	4387.295	4660	0	160
2026.01.05	00:30:00	4387.249	4396.847	4385.722	4387.956	6266	0	160
2026.01.05	00:45:00	4387.908	4396.125	4385.012	4395.009	5823	0	160
2026.01.05	01:00:00	4395.042	4421.112	4394.208	4402.948	20925	0	160
2026.01.05	01:15:00	4402.912	4405.427	4394.153	4396.158	12579	0	160
2026.01.05	01:30:00	4396.184	4405.365	4392.946	4404.047	10119	0	160
2026.01.05	01:45:00	4403.994	4406.822	4391.224	4401.876	9486	0	160
2026.01.05	02:00:00	4401.913	4405.073	4388.651	4394.077	7842	0	160
2026.01.05	02:15:00	4394.118	4403.060	4392.414	4402.299	5225	0	160
2026.01.05	02:30:00	4402.250	4407.113	4399.668	4399.834	7028	0	160
2026.01.05	02:45:00	4399.870	4409.586	4398.639	4405.407	5500	0	160
2026.01.05	03:00:00	4405.379	4414.082	4405.347	4410.694	5105	0	160
2026.01.05	03:15:00	4410.658	4412.577	4406.025	4407.524	3953	0	160
2026.01.05	03:30:00	4407.480	4410.678	4403.616	4409.599	3648	0	160
2026.01.05	03:45:00	4409.555	4410.372	4399.637	4399.909	3141	0	160
2026.01.05	04:00:00	4399.961	4404.529	4397.451	4400.193	3264	0	160
2026.01.05	04:15:00	4400.121	4406.384	4400.057	4404.845	2049	0	160
2026.01.05	04:30:00	4404.815	4407.710	4404.157	4405.682	2160	0	160
2026.01.05	04:45:00	4405.653	4408.413	4403.573	4404.234	2078	0	160
2026.01.05	05:00:00	4404.122	4408.920	4403.676	4408.107	2131	0	160
2026.01.05	05:15:00	4408.132	4412.737	4407.053	4412.513	1896	0	160
2026.01.05	05:30:00	4412.501	4414.553	4402.043	4402.120	5149	0	160
2026.01.05	05:45:00	4402.041	4412.403	4401.270	4412.369	4994	0	160
2026.01.05	06:00:00	4412.307	4420.259	4411.236	4418.188	5550	0	160
2026.01.05	06:15:00	4418.227	4426.206	4415.810	4424.107	5448	0	160
2026.01.05	06:30:00	4424.170	4426.559	4416.317	4420.118	5731	0	160
2026.01.05	06:45:00	4420.086	4422.087	4418.104	4420.161	3426	0	160
2026.01.05	07:00:00	4420.279	4424.076	4416.793	4419.909	3899	0	160
2026.01.05	07:15:00	4419.869	4423.296	4418.903	4420.415	2906	0	160
2026.01.05	07:30:00	4420.404	4425.096	4418.516	4424.695	3715	0	160
2026.01.05	07:45:00	4424.662	4424.709	4419.921	4421.826	3125	0	160
2026.01.05	08:00:00	4421.868	4425.330	4419.408	4424.369	3510	0	160
2026.01.05	08:15:00	4424.390	4430.230	4424.390	4426.693	3647	0	160
2026.01.05	08:30:00	4426.688	4430.932	4423.600	4429.960	3701	0	160
2026.01.05	08:45:00	4430.003	4433.981	4429.868	4430.181	3125	0	160
2026.01.05	09:00:00	4430.172	4432.255	4425.973	4430.408	3597	0	160
2026.01.05	09:15:00	4430.463	4434.604	4429.805	4432.660	2621	0	160
2026.01.05	09:30:00	4432.627	4438.187	4430.919	4437.464	2982	0	160
2026.01.05	09:45:00	4437.510	4438.245	4433.895	4434.845	3407	0	160
2026.01.05	10:00:00	4434.877	4435.544	4430.876	4433.199	2907	0	160
2026.01.05	10:15:00	4433.232	4436.628	4431.368	4433.196	2493	0	160
2026.01.05	10:30:00	4433.242	4438.891	4432.710	4435.037	2900	0	160
2026.01.05	10:45:00	4435.070	4440.011	4434.236	4436.250	2698	0	160
2026.01.05	11:00:00	4436.286	4437.501	4430.137	4433.261	4154	0	160
2026.01.05	11:15:00	4433.273	4433.755	4411.073	4417.231	6438	0	160
2026.01.05	11:30:00	4417.201	4424.539	4415.341	4424.150	4531	0	160
2026.01.05	11:45:00	4424.095	4426.143	4418.159	4419.349	3515	0	160
2026.01.05	12:00:00	4419.316	4421.533	4416.758	4417.807	4250	0	160
2026.01.05	12:15:00	4417.774	4418.514	4413.736	4415.646	3769	0	160
2026.01.05	12:30:00	4415.748	4417.297	4406.117	4409.829	4222	0	160
2026.01.05	12:45:00	4409.876	4412.469	4405.439	4409.669	4578	0	160
2026.01.05	13:00:00	4409.700	4418.988	4406.978	4409.113	8735	0	160
2026.01.05	13:15:00	4409.149	4413.233	4396.806	4399.520	10068	0	160
2026.01.05	13:30:00	4399.564	4414.524	4395.895	4412.148	8831	0	160
2026.01.05	13:45:00	4412.174	4417.244	4411.436	4416.777	4303	0	160
2026.01.05	14:00:00	4416.756	4428.386	4416.756	4426.308	7080	0	160
2026.01.05	14:15:00	4426.345	4429.678	4420.255	4421.070	6783	0	160
2026.01.05	14:30:00	4420.963	4430.151	4417.832	4429.572	14744	0	160
2026.01.05	14:45:00	4429.610	4442.879	4428.127	4436.879	10194	0	160
2026.01.05	15:00:00	4436.954	4455.685	4436.954	4449.173	10654	0	160
2026.01.05	15:15:00	4449.134	4452.417	4442.417	4444.538	9026	0	160
2026.01.05	15:30:00	4444.587	4447.976	4435.457	4447.297	9200	0	160
2026.01.05	15:45:00	4447.268	4450.085	4440.634	4448.524	5827	0	160
2026.01.05	16:00:00	4448.559	4451.428	4438.476	4446.331	6127	0	160
2026.01.05	16:15:00	4446.382	4448.879	4440.259	4440.937	4314	0	160
2026.01.05	16:30:00	4440.891	4446.053	4440.162	4445.173	3707	0	160
2026.01.05	16:45:00	4445.123	4454.476	4440.788	4441.949	5294	0	160
2026.01.05	17:00:00	4441.992	4442.542	4432.261	4442.542	9245	0	160
